id,title,urlkey,entrydate,recalldate,productinfo,hazard,units,manufacturer,contactinfo,photos,description,attachments,sourceid,link,approved,uploaded,approvaldate,url,categoryid,categories,tweeted,enabled
100,Recall # 22MF0295 by EBBTIDE HOLDINGS LLC,recall--22mf0295-by-ebbtide-holdings-llc,3/24/2023 18:31,7/21/2022,"21CC, 23CC/DC, 25CC Year: ",,238,EBBTIDE HOLDINGS LLC,,,"<table border=""0"" cellpadding=""1"" cellspacing=""1"" width=""100%"">
<tbody><tr>
<td align=""center"" colspan=""5""><h2></h2></td>
</tr>
<tr>
<td width=""73""> </td>
<td width=""160""> </td>
<td> </td>
<td width=""66""> </td>
<td width=""145""> </td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Number</strong></span></td>
<td><span class=""defaultFont"">22MF0295</span></td>
<td width=""1""> </td>
<td><span class=""defaultFont""><strong>MIC:</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Company:</strong></span></td>
<td><span class=""defaultFont"">EBBTIDE HOLDINGS LLC</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Company Official:</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Model Name:</strong></span></td>
<td><span class=""defaultFont"">21CC, 23CC/DC, 25CC</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Model Year:</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Problem 1:</strong></span></td>
<td><span class=""defaultFont""></span></td>
<td> </td>
<td> </td>
<td> </td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Problem 2:</strong></span></td>
<td><span class=""defaultFont""></span></td>
<td> </td>
<td> </td>
<td> </td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>HIN</strong></span></td>
<td><span class=""defaultFont"">SEE COMMENTS</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Case Open Date:</strong></span></td>
<td><span class=""defaultFont"">7/21/2022</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Disposition:</strong></span></td>
<td><span class=""defaultFont"">Open</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Case Close Date:</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Units</strong></span></td>
<td><span class=""defaultFont"">238</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Campaign Open Date</strong></span></td>
<td><span class=""defaultFont"">7/26/2022</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Boat Type</strong></span></td>
<td><span class=""defaultFont"">12</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Campaign Close Date</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Severity:</strong></span></td>
<td><span class=""defaultFont""></span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Last Date:</strong></span></td>
<td><span class=""defaultFont"">3/9/2023</span></td>
</tr>
<tr>
<!--<td><span class=""defaultFont""><strong>Comments:</strong></span></td>
    <td colspan=""4"">&nbsp;</td>
  </tr>
  <tr>
    <td colspan=""5""><span class=""defaultFont""></span></td>-->
</tr>
</tbody></table>",NULL,6,https://uscgboating.org/content/recalls-details.php?id=22MF0295,Yes,No,3/24/2023 18:31,,0,[],No,Yes
101,Recall # 20SD0017 by MERCURY,recall--20sd0017-by-mercury,3/24/2023 18:31,8/4/2020,35-60 EFI 75-115 SEA Year: ,,768,MERCURY,,,"<table border=""0"" cellpadding=""1"" cellspacing=""1"" width=""100%"">
<tbody><tr>
<td align=""center"" colspan=""5""><h2></h2></td>
</tr>
<tr>
<td width=""73""> </td>
<td width=""160""> </td>
<td> </td>
<td width=""66""> </td>
<td width=""145""> </td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Number</strong></span></td>
<td><span class=""defaultFont"">20SD0017</span></td>
<td width=""1""> </td>
<td><span class=""defaultFont""><strong>MIC:</strong></span></td>
<td><span class=""defaultFont"">111</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Company:</strong></span></td>
<td><span class=""defaultFont"">MERCURY</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Company Official:</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Model Name:</strong></span></td>
<td><span class=""defaultFont"">35-60 EFI 75-115 SEA</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Model Year:</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Problem 1:</strong></span></td>
<td><span class=""defaultFont""></span></td>
<td> </td>
<td> </td>
<td> </td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Problem 2:</strong></span></td>
<td><span class=""defaultFont""></span></td>
<td> </td>
<td> </td>
<td> </td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>HIN</strong></span></td>
<td><span class=""defaultFont"">1CS00142</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Case Open Date:</strong></span></td>
<td><span class=""defaultFont"">8/4/2020</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Disposition:</strong></span></td>
<td><span class=""defaultFont"">Open</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Case Close Date:</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Units</strong></span></td>
<td><span class=""defaultFont"">768</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Campaign Open Date</strong></span></td>
<td><span class=""defaultFont"">8/4/2020</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Boat Type</strong></span></td>
<td><span class=""defaultFont""></span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Campaign Close Date</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Severity:</strong></span></td>
<td><span class=""defaultFont""></span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Last Date:</strong></span></td>
<td><span class=""defaultFont"">1/9/2023</span></td>
</tr>
<tr>
<!--<td><span class=""defaultFont""><strong>Comments:</strong></span></td>
    <td colspan=""4"">&nbsp;</td>
  </tr>
  <tr>
    <td colspan=""5""><span class=""defaultFont""></span></td>-->
</tr>
</tbody></table>",NULL,6,https://uscgboating.org/content/recalls-details.php?id=20SD0017,Yes,No,3/24/2023 18:31,,0,[],No,Yes
102,"Recall # 22MF0615 by Aviara Boats, LLC",recall--22mf0615-by-aviara-boats-llc,3/24/2023 18:31,11/29/2022,"Avaria: AV-32,36,40 Year: 2020",,244,"Aviara Boats, LLC",,,"<table border=""0"" cellpadding=""1"" cellspacing=""1"" width=""100%"">
<tbody><tr>
<td align=""center"" colspan=""5""><h2></h2></td>
</tr>
<tr>
<td width=""73""> </td>
<td width=""160""> </td>
<td> </td>
<td width=""66""> </td>
<td width=""145""> </td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Number</strong></span></td>
<td><span class=""defaultFont"">22MF0615</span></td>
<td width=""1""> </td>
<td><span class=""defaultFont""><strong>MIC:</strong></span></td>
<td><span class=""defaultFont"">AVL</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Company:</strong></span></td>
<td><span class=""defaultFont"">Aviara Boats, LLC</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Company Official:</strong></span></td>
<td><span class=""defaultFont"">jlu</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Model Name:</strong></span></td>
<td><span class=""defaultFont"">Avaria: AV-32,36,40</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Model Year:</strong></span></td>
<td><span class=""defaultFont"">2020</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Problem 1:</strong></span></td>
<td><span class=""defaultFont""></span></td>
<td> </td>
<td> </td>
<td> </td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Problem 2:</strong></span></td>
<td><span class=""defaultFont""></span></td>
<td> </td>
<td> </td>
<td> </td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>HIN</strong></span></td>
<td><span class=""defaultFont"">MBCPVEN4J820</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Case Open Date:</strong></span></td>
<td><span class=""defaultFont"">11/29/2022</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Disposition:</strong></span></td>
<td><span class=""defaultFont"">Open</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Case Close Date:</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Units</strong></span></td>
<td><span class=""defaultFont"">244</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Campaign Open Date</strong></span></td>
<td><span class=""defaultFont"">12/5/2022</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Boat Type</strong></span></td>
<td><span class=""defaultFont"">12</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Campaign Close Date</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Severity:</strong></span></td>
<td><span class=""defaultFont""></span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Last Date:</strong></span></td>
<td><span class=""defaultFont"">2/7/2023</span></td>
</tr>
<tr>
<!--<td><span class=""defaultFont""><strong>Comments:</strong></span></td>
    <td colspan=""4"">&nbsp;</td>
  </tr>
  <tr>
    <td colspan=""5""><span class=""defaultFont""></span></td>-->
</tr>
</tbody></table>",NULL,6,https://uscgboating.org/content/recalls-details.php?id=22MF0615,Yes,No,3/24/2023 18:31,,0,[],No,Yes
103,Recall # 170008T by MERCURY MARINE,recall--170008t-by-mercury-marine,3/24/2023 18:31,6/9/2017,Verado 200/300 and Hi-Perf. 400R Year: 2017,ENGINE; GASOLINE,504,MERCURY MARINE,,,"<table border=""0"" cellpadding=""1"" cellspacing=""1"" width=""100%"">
<tbody><tr>
<td align=""center"" colspan=""5""><h2>ENGINE; GASOLINE</h2></td>
</tr>
<tr>
<td width=""73""> </td>
<td width=""160""> </td>
<td> </td>
<td width=""66""> </td>
<td width=""145""> </td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Number</strong></span></td>
<td><span class=""defaultFont"">170008T</span></td>
<td width=""1""> </td>
<td><span class=""defaultFont""><strong>MIC:</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Company:</strong></span></td>
<td><span class=""defaultFont"">MERCURY MARINE</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Company Official:</strong></span></td>
<td><span class=""defaultFont"">EJ</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Model Name:</strong></span></td>
<td><span class=""defaultFont"">Verado 200/300 and Hi-Perf. 400R</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Model Year:</strong></span></td>
<td><span class=""defaultFont"">2017</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Problem 1:</strong></span></td>
<td><span class=""defaultFont"">ENGINE; GASOLINE</span></td>
<td> </td>
<td> </td>
<td> </td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Problem 2:</strong></span></td>
<td><span class=""defaultFont""></span></td>
<td> </td>
<td> </td>
<td> </td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>HIN</strong></span></td>
<td><span class=""defaultFont"">2B403255</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Case Open Date:</strong></span></td>
<td><span class=""defaultFont"">6/9/2017</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Disposition:</strong></span></td>
<td><span class=""defaultFont"">Open</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Case Close Date:</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Units</strong></span></td>
<td><span class=""defaultFont"">504</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Campaign Open Date</strong></span></td>
<td><span class=""defaultFont"">6/9/2017</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Boat Type</strong></span></td>
<td><span class=""defaultFont""></span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Campaign Close Date</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Severity:</strong></span></td>
<td><span class=""defaultFont""></span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Last Date:</strong></span></td>
<td><span class=""defaultFont"">3/6/2023</span></td>
</tr>
<tr>
<!--<td><span class=""defaultFont""><strong>Comments:</strong></span></td>
    <td colspan=""4"">&nbsp;</td>
  </tr>
  <tr>
    <td colspan=""5""><span class=""defaultFont""></span></td>-->
</tr>
</tbody></table>",NULL,6,https://uscgboating.org/content/recalls-details.php?id=170008T,Yes,No,3/24/2023 18:31,,0,[],No,Yes
104,Recall # 150005T by MERCURY MARINE,recall--150005t-by-mercury-marine,3/24/2023 18:31,5/5/2015,Verado 250/300 Year: ,steering,1179,MERCURY MARINE,,,"<table border=""0"" cellpadding=""1"" cellspacing=""1"" width=""100%"">
<tbody><tr>
<td align=""center"" colspan=""5""><h2>steering</h2></td>
</tr>
<tr>
<td width=""73""> </td>
<td width=""160""> </td>
<td> </td>
<td width=""66""> </td>
<td width=""145""> </td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Number</strong></span></td>
<td><span class=""defaultFont"">150005T</span></td>
<td width=""1""> </td>
<td><span class=""defaultFont""><strong>MIC:</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Company:</strong></span></td>
<td><span class=""defaultFont"">MERCURY MARINE</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Company Official:</strong></span></td>
<td><span class=""defaultFont"">EJ</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Model Name:</strong></span></td>
<td><span class=""defaultFont"">Verado 250/300</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Model Year:</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Problem 1:</strong></span></td>
<td><span class=""defaultFont"">steering</span></td>
<td> </td>
<td> </td>
<td> </td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Problem 2:</strong></span></td>
<td><span class=""defaultFont""></span></td>
<td> </td>
<td> </td>
<td> </td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>HIN</strong></span></td>
<td><span class=""defaultFont"">N/A</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Case Open Date:</strong></span></td>
<td><span class=""defaultFont"">5/5/2015</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Disposition:</strong></span></td>
<td><span class=""defaultFont"">Open</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Case Close Date:</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Units</strong></span></td>
<td><span class=""defaultFont"">1179</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Campaign Open Date</strong></span></td>
<td><span class=""defaultFont"">5/5/2015</span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Boat Type</strong></span></td>
<td><span class=""defaultFont"">31</span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Campaign Close Date</strong></span></td>
<td><span class=""defaultFont""></span></td>
</tr>
<tr>
<td><span class=""defaultFont""><strong>Severity:</strong></span></td>
<td><span class=""defaultFont""></span></td>
<td> </td>
<td><span class=""defaultFont""><strong>Last Date:</strong></span></td>
<td><span class=""defaultFont"">3/6/2023</span></td>
</tr>
<tr>
<!--<td><span class=""defaultFont""><strong>Comments:</strong></span></td>
    <td colspan=""4"">&nbsp;</td>
  </tr>
  <tr>
    <td colspan=""5""><span class=""defaultFont""></span></td>-->
</tr>
</tbody></table>",NULL,6,https://uscgboating.org/content/recalls-details.php?id=150005T,Yes,No,3/24/2023 18:31,,0,[],No,Yes
40I</span></span></span></span></span></span></span></span></p>,,,,,,,,,,,,,,,,,,,,,,
</td>,,,,,,,,,,,,,,,,,,,,,,
<td>,,,,,,,,,,,,,,,,,,,,,,
<p><span><span><span><span><span><span><span><span>10/31/2021</span></span></span></span></span></span></span></span></p>,,,,,,,,,,,,,,,,,,,,,,
200,Gilster-Mary Lee Corp. Issues a Recall for Undeclared Milk Allergen in HyVee Hamburger Chili Macaroni Skillet Meal,gilster-mary-lee-corp-issues-a-recall-for-undeclared-milk-allergen-in-hyvee-hamburger-chili-macaroni-skillet-meal,3/30/2023 18:52,3/29/2023,Hamburger Chili Macaroni Skillet Meal,Undeclared Milk Allergen,,Gilster-Mary Lee Corp.,"[""Consumers:<br/>Gilster Mary Lee Corporation<br/> 1-800-851-5371 ext. 32301;  618-826-2361 EXT. 32301<br/>"", ""Media:<br/>""]","[{""title"": """", ""src"": ""https://www.fda.gov/files/styles/recall_image_small/public/image-1_236.jpg?itok=3aVM-h13""}]","
<h2>Summary</h2>
<div class=""inset-column"">
<dl class=""lcds-description-list--grid"">
<dt class=""cell-1_1"">Company Announcement Date:</dt>
<dd class=""cell-2_1""><time datetime=""2023-03-28T04:00:00Z"">March 28, 2023</time>
</dd>
<dt class=""cell-1_2"">FDA Publish Date:</dt>
<dd class=""cell-2_2""><time datetime=""2023-03-29T04:00:00Z"">March 29, 2023</time>
</dd>
<dt class=""cell-1_3"">Product Type:</dt>
<dd class=""cell-2_3"">Food &amp; Beverages                          
            
            
            
            
            
            
            
             
            
            
            
              
            
            
                          </dd>
<dt class=""cell-1_4"">Reason for Announcement:</dt>
<dd class=""cell-2_4"">
<div class=""field field--name-field-recall-reason-description field--type-string field--label-above"">
<div class=""field--label"">Recall Reason Description</div>
<div class=""field--item"">Undeclared Milk Allergen</div>
</div>
</dd>
<dt class=""cell-1_5"">Company Name:</dt>
<dd class=""cell-2_5"">Gilster-Mary Lee Corp.</dd>
<dt class=""cell-1_6"">Brand Name:</dt>
<dd class=""cell-2_6"">
<div class=""field field--name-field-brand-name field--type-entity-reference field--label-inline"">
<div class=""field--label"">Brand Name(s)</div>
<div class=""field--items"">
<div class=""field--item"">HyVee</div>
</div>
</div>
</dd>
<dt class=""cell-1_7"">Product Description:</dt>
<dd class=""cell-2_7"">
<div class=""field field--name-field-product-description field--type-string field--label-above"">
<div class=""field--label"">Product Description</div>
<div class=""field--items"">
<div class=""field--item"">Hamburger Chili Macaroni Skillet Meal</div>
</div>
</div>
</dd>
</dl>
</div>
<hr/>
<h2 id=""recall-announcement"">Company Announcement</h2>
<p>FOR IMMEDIATE RELEASE – March 28, 2023 - Gilster Mary Lee, 10 Industrial Park, Steeleville Illinois is recalling one lot of HyVee Hamburger Chili Macaroni Skillet Meal, UPC 75450-08552 at the consumer level because it may contain undeclared milk. People who have an allergy or severe sensitivity to milk run the risk of a serious life- threating allergic reaction if they consume this product.</p>
<p>The only lot involved is HyVee Hamburger Chili Macaroni Skillet Meal, packaged in 5.2-oz. cartons which have a Best By date of FEB 08 24 Y18 (UPC# 75450-08552). Consumers should return the product to the store for a full refund or discard it.</p>
<p>The recalled product was sold at HyVee Retail Stores and Dollar Fresh Market Stores in Iowa, Illinois, Missouri, Kansas, Nebraska, South Dakota, Minnesota and Wisconsin. Gilster-Mary Lee Corp. became aware of the mispackaging after receiving an email from a customer. No illnesses have been reported to date in connection with this product.</p>
<p>For questions, consumers can call Gilster Mary Lee Corporation at 1-800-851-5371 ext. 32301 or 618-826-2361 EXT. 32301 from 7:00am to 4:30pm CST Monday-Friday.</p>
<div class=""inset-column"">
<hr/>
<h2>Company Contact Information</h2>
<div class=""row"">
<div class=""col-xs-12 col-md-6"">
<dl>
<dt>Consumers:</dt>
<dd>Gilster Mary Lee Corporation</dd>
<dd><span aria-hidden=""true"" class=""fa fa-phone""></span> 1-800-851-5371 ext. 32301;  618-826-2361 EXT. 32301</dd>
</dl>
</div>
<div class=""col-xs-12 col-md-6"">
<dl>
</dl>
</div>
</div>
</div>
<hr/>

",NULL,1,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/gilster-mary-lee-corp-issues-recall-undeclared-milk-allergen-hyvee-hamburger-chili-macaroni-skillet,Yes,No,3/30/2023 18:52,,0,Food & Beverages,No,Yes
